Frequency,Nominal,Min,Max
2.45,-15.767923688740053,-16.744231715415843,-14.81138272244497
2.5,-16.100127226146046,-17.098258793482085,-15.122342302191235
2.55,-16.432954845021825,-17.45302229591177,-15.433823501030584
2.6,-16.76641827711443,-17.808535890495403,-15.745836220984371
2.7,-17.435299233238073,-18.521867633987434,-16.37149564081503
2.75,-17.7707399398776,-18.87971271611029,-16.685161949043632
2.8,-18.106862820697078,-19.238361750577187,-16.999398992214154
2.85,-18.44367931379452,-19.597827984092802,-17.314216468027755
2.9,-18.781200791956934,-19.958124569488703,-17.629624028875003
2.95,-19.119438560331155,-20.319264562304017,-17.945631280264344
3,-19.458403854035588,-20.68126091727851,-18.262247779210988
3.05,-19.798107835711548,-21.04412648475703,-18.579483032586023
3.1,-20.13856159301401,-21.40787400700456,-18.89734649542484
3.15,-20.479776136040822,-21.772516114431042,-19.2158475691947
3.2,-20.821762394700016,-22.13806532172556,-19.534995600020952
3.3,-21.508093361363777,-22.871934492236928,-20.175269629697397
3.4,-22.19764022447451,-23.609579168971308,-20.818242176559362
3.5,-22.890487253379366,-24.351094888013677,-21.46398582660159
3.6,-23.586717159878837,-25.09657493120657,-22.11257209541437
3.7,-24.286410998667336,-25.84611018034933,-22.76407136107381
3.9,-25.69650577995504,-27.357696907622373,-24.076084285067246
4,-26.407059592210857,-28.119916755158535,-24.736732368035202
4.1,-27.12138284821734,-28.886528215541478,-25.400562142831504
4.2,-27.83954667898826,-29.65760778096188,-26.067637193163993
4.32,-28.706509518854464,-30.588903829886338,-26.872498172063395
4.45,-29.652204098556453,-31.60532550484241,-27.749925490556343
4.58,-30.604777130580484,-32.629703097536115,-28.633190959925944
4.75,-31.861043296316485,-33.98149271675139,-29.7972411157016
4.88,-32.82997115999848,-35.024705030460424,-30.694433795541222
5,-33.730820568344406,-35.995384485124475,-31.528127948769523
5.15,-34.86571826616629,-37.219264626800054,-32.57781665984254
5.3,-36.01056077553261,-38.45454332722904,-33.636051506063474
5.5,-37.55268765692901,-40.11945688696113,-35.06054921388219
5.65,-38.72115673981489,-41.38161548566552,-36.139208772302744
5.8,-39.899880985561275,-42.6553429126851,-37.226793540128895
6,-41.48753948518765,-44.3716078856123,-38.69092619404889
6.15,-42.69032384386782,-45.67220444836903,-39.799618286793134
6.3,-43.903415627053526,-46.984179359935986,-40.91743476797787
6.45,-45.126774204318316,-48.307398141235005,-42.04439563291865
6.6,-46.36033124274081,-49.64168886255709,-43.18050108675552
6.75,-47.6039898721927,-50.986841427441654,-44.32573078467705
6.88,-48.689901685983564,-52.16123505908905,-45.32561208895734
7,-49.69884612964289,-53.25220649109935,-46.2546001265119
7.15,-50.96874429688568,-54.62500193324136,-47.42389789937415
7.32,-52.41942435243879,-56.192614103382574,-48.75980988961429
7.5,-53.96833752780742,-57.86546289302529,-50.186507306426066
7.65,-55.26889787580284,-59.26920388293215,-51.38482216507431
7.8,-56.57803853315311,-60.68125629510888,-52.59149163885811
8,-58.336315749843685,-62.57603223067566,-54.213023297409045
8.2,-60.10835458902037,-64.48336694170187,-55.848489582369346
8.4,-61.893180224328326,-66.40186255352062,-57.4972634061425
8.6,-63.689733690334236,-68.33003761744813,-59.158643707104936
8.8,-65.49687830648817,-70.26633976364288,-60.83185784416119
9,-67.31340736869839,-72.20915984081444,-62.516064878304476
9.2,-69.13805304865649,-74.15684732887247,-64.21035975442878
9.4,-70.96949640785272,-76.10772676763186,-65.91377837813559
9.6,-72.80637840123862,-78.0601149100701,-67.62530356249037
9.8,-74.64731171619745,-80.0123382844076,-69.34387179925734
10,-76.49089326731195,-81.96275083691133,-71.06838078881617
10.2,-78.335717147659,-83.90975132760015,-72.79769764354452
10.4,-80.18038782406362,-85.85180016398773,-74.53066766172861
10.6,-82.02353335763016,-87.7874353829113,-76.26612355383314
10.8,-83.86381843230262,-89.71528752594715,-78.00289499090054
11,-85.69995698313315,-91.63409319792481,-79.73981833653609
11.2,-87.53072423192008,-93.54270714823592,-81.4757464197632
11.5,-90.26430584802456,-96.38433215463635,-84.0753296397626
11.8,-92.97969996613871,-99.19792733258566,-86.66653565531149
12,-94.77833474872095,-101.05701790834213,-88.38767285575217
12.2,-96.5667543923841,-102.90227321915327,-90.10265340290015
12.5,-99.22882947549877,-105.64366322820432,-92.6617241981563
12.8,-101.86476643803424,-108.35310165404432,-95.20245740789979
13,-103.6069758689543,-110.14188637255369,-96.8850116429024
13.2,-105.33691153957987,-111.9170669758172,-98.55792496990354
13.5,-107.90876109586102,-114.55551424384636,-101.04829928082219
13.8,-110.45337177569726,-117.16698106294469,-103.51498207709332
14,-112.13514982087948,-118.89451799800611,-105.14598360414001
