Frequency,Nominal,Min,Max
2.45,-0.27520218457172346,-0.2922419741508646,-0.25850739527966615
2.5,-0.2810002300862302,-0.29842091230433554,-0.26393466378685637
2.55,-0.28680916787718536,-0.3046127034876404,-0.26937103626466213
2.6,-0.29262920270220183,-0.31081758624872513,-0.2748166855359587
2.7,-0.30430337769044713,-0.3232675738316527,-0.28573650240812126
2.75,-0.3101579224665233,-0.32951314872676607,-0.2912110122392857
2.8,-0.3160243734281117,-0.33577275523731204,-0.29669548327434286
2.85,-0.3219029302076828,-0.3420466245619023,-0.30219008477010784
2.9,-0.32779379129781505,-0.3483349862607537,-0.30769498519257665
2.95,-0.3336971540105432,-0.35463806819600957,-0.3132103521894981
3,-0.3396132144356751,-0.3609560964705326,-0.3187363525622542
3.05,-0.3455421673980551,-0.3672892953651504,-0.324273152237047
3.1,-0.35148420641376876,-0.37363788727434116,-0.329820916235375
3.15,-0.3574395236452745,-0.3800020926403442,-0.3353798086437964
3.2,-0.36340830985545436,-0.38638212988568876,-0.3409499925829709
3.3,-0.37538704498213243,-0.3991905631899918,-0.35212488251583673
3.4,-0.38742190809021343,-0.412064891508816,-0.36334687045851155
3.5,-0.3995143699572634,-0.42500678226139854,-0.37461722327559444
3.6,-0.4116658741765315,-0.438017863523024,-0.3859371891496025
3.7,-0.4238778354193092,-0.45109972148032124,-0.39730799640968495
3.9,-0.44848863211796897,-0.4774818868006814,-0.4202069417620885
4,-0.4608901356544306,-0.4907851327642366,-0.431737426006868
4.1,-0.4733574283953101,-0.504165026831441,-0.4433234412498359
4.2,-0.485891751810998,-0.517622904042874,-0.45496609723604475
4.32,-0.5010231078591036,-0.53387708640742,-0.46901357133866395
4.45,-0.5175285919931673,-0.5516169912240391,-0.4843275669933108
4.58,-0.534154127767692,-0.5694957530001976,-0.49974345760298344
4.75,-0.55608010864119,-0.5930889326497846,-0.5200599654796215
4.88,-0.5729910900767555,-0.6112964223213553,-0.5357189317676143
5,-0.5887138783170349,-0.628237974786706,-0.5502696396960742
5.15,-0.6085215798173305,-0.6495987129087195,-0.5685901638253139
5.3,-0.6285028510225668,-0.671158393410962,-0.587059846151205
5.5,-0.655418042586446,-0.7002166167893863,-0.6119220213397538
5.65,-0.6758116752905631,-0.7222454400191356,-0.6307481821423006
5.8,-0.6963842943519243,-0.7444761773935831,-0.649730117235405
6,-0.7240941625676777,-0.774430652007814,-0.6752840527322717
6.15,-0.7450867098181352,-0.7971303442680401,-0.6946343801414849
6.3,-0.7662591555636149,-0.8200286261784449,-0.7141439581712159
6.45,-0.7876107906693989,-0.8431231506363396,-0.7338131358055556
6.6,-0.8091404225010217,-0.86641091690222,-0.7536419166248735
6.75,-0.8308463603557972,-0.8898882581011024,-0.7736299455452242
6.88,-0.8497990968927513,-0.910385293687803,-0.7910811664340506
7,-0.867408499404309,-0.9294263372215801,-0.8072950664010184
7.15,-0.8895724035877374,-0.9533861376433294,-0.8277031624737013
7.32,-0.9148915469501533,-0.9807461314066271,-0.8510192252202622
7.5,-0.9419251816878563,-1.0099428506738946,-0.8759197925733256
7.65,-0.9646242418812596,-1.0344427527929738,-0.8968343323323079
7.8,-0.9874730567237447,-1.0590877165961858,-0.9178946876331425
8,-1.018160783317797,-1.092157795259382,-0.9461957540001809
8.2,-1.0490886955346486,-1.125447065904364,-0.9747400254780979
8.4,-1.0802397794447718,-1.158931131015664,-1.0035165573236362
8.6,-1.111595552614691,-1.1925841344360515,-1.032513113703205
8.8,-1.1431361762262662,-1.2263789822005824,-1.0617162094857524
9,-1.1748405893199996,-1.2602875893210763,-1.0911111675168013
9.2,-1.206686664117559,-1.294281148787587,-1.1206821916048397
9.4,-1.2386513807993185,-1.3283304183033973,-1.150412455128314
9.6,-1.270711019554499,-1.3624060196658405,-1.180284204826108
9.8,-1.3028413672101844,-1.3964787452824239,-1.2102788789778849
10,-1.3350179353061566,-1.4305198660958405,-1.240377238825927
10.2,-1.3672161861376304,-1.4645014351963057,-1.2705595117511692
10.4,-1.399411763055882,-1.4983965816257936,-1.3008055444068276
10.6,-1.4315807212100458,-1.5321797893135711,-1.3310949637471872
10.8,-1.46369975493839,-1.5658271567011754,-1.3614073436786067
11,-1.4957464181731799,-1.599316633383128,-1.3917223749147025
11.2,-1.5276993345021899,-1.6326282309655522,-1.4220200355448498
11.5,-1.575409334075201,-1.6822239434342448,-1.4673913219134354
11.8,-1.6228019019255806,-1.731330443107696,-1.512616398482247
12,-1.654194000922533,-1.7637776947474433,-1.5426559095084944
12.2,-1.6854078121117988,-1.7959834754610091,-1.5725879666638805
12.5,-1.7318697872474516,-1.843829757200227,-1.61725217783273
12.8,-1.7778755661187138,-1.8911183786111874,-1.6615963377575174
13,-1.8082828569475655,-1.9223385615585356,-1.6909624490016875
13.2,-1.8384759302476779,-1.9533213079030232,-1.7201602946583499
13.5,-1.8833631728707392,-1.9993708998703812,-1.7636255259909654
13.8,-1.9277750074152928,-2.0449495941702303,-1.8066772623881973
14,-1.9571275715914764,-2.0751008016368635,-1.8351436091402173
14.2,-1.9862852742672725,-2.1050871587065716,-1.8634210990888413
14.5,-2.029680129126782,-2.1498077094711325,-1.9054861607010576
14.8,-2.0727056382687583,-2.1942963266586735,-1.947140453461579
15,-2.1012112894392074,-2.2238760812012925,-1.9746913509958541
15.5,-2.1719972599242015,-2.2977982950114284,-2.0428659721631455
16,-2.2424010712049487,-2.372182443331969,-2.110184809385781
16.5,-2.3128765308300614,-2.447766302919886,-2.176890449222187
17,-2.383976118784874,-2.525438375931375,-2.243294426501399
17.5,-2.456363670323511,-2.606266135026046,-2.3097805056462453
18,-2.530832381426685,-2.6915298737364237,-2.376810780681774
18.5,-2.6083280374721762,-2.7827566804292734,-2.444935152337513
19,-2.689975964871752,-2.8817408997254144,-2.5148045488545767
19.5,-2.777107209893116,-2.990521795732957,-2.5871878788142864
20,-2.871273434477252,-3.111262990281434,-2.6629919026974767
20.5,-2.974228914114026,-3.245945354626042,-2.743281552348263
21,-3.0878399896119024,-3.395773595418779,-2.8292949784478143
21.5,-3.2138596291692556,-3.560284021759734,-2.9224416603905903
22,-3.353493947045237,-3.7364252643006335,-3.0242620385316332
22.5,-3.506734344060689,-3.918280783231554,-3.136313264868708
23,-3.671599676710578,-4.098094728920633,-3.2599327433714627
23.5,-3.8437130012865555,-4.268378265770083,-3.395836466270149
24,-4.016756936145136,-4.423844125895212,-3.5435679206374835
24.5,-4.183915570998721,-4.562092855464751,-3.700957617447372
25,-4.339601008422263,-4.68310697559846,-3.863932272474066
25.5,-4.480492791892435,-4.788290975040842,-4.027016962569795
26,-4.6055450900099455,-4.879640869431208,-4.184504237307848
27,-4.811358173455,-5.028943188162998,-4.46589744808368
27.5,-4.895366356618504,-5.090415754750486,-4.585958350534108
28,-4.969131433986105,-5.1449993453278005,-4.6922787659393475
28.5,-5.034242335247257,-5.193804144344425,-4.785997825798637
29,-5.092063997626727,-5.23773451001845,-4.868582259374358
29.5,-5.143739343530722,-5.2775266322504635,-4.941538116129185
30,-5.19021328817065,-5.3137813714868765,-5.006261695733483
30.5,-5.232263053336577,-5.3469913759661125,-5.063979781547478
31,-5.27052760923509,-5.377562866138252,-5.115738873910575
31.5,-5.305533492183661,-5.40583289741155,-5.162417661369812
32,-5.337716347496573,-5.432082960000537,-5.204748321965855
33,-5.395002733671183,-5.479433255849727,-5.278696986381172
34,-5.444637999290161,-5.521108272546348,-5.341331050960353
35,-5.488231581549787,-5.558202596728128,-5.395274786144635
36,-5.526961153041652,-5.5915363356091135,-5.4424010165822505
37,-5.561707545908502,-5.621736716563806,-5.48407441636774
39,-5.621789887062953,-5.674590422420289,-5.554878625001603
40,-5.648061107057268,-5.697941942774828,-5.585374716898102
41,-5.672287684699836,-5.719600426279525,-5.613265892335416
42,-5.694738674528517,-5.739774834647465,-5.63892486083963
43.2,-5.719644975010739,-5.762268308134282,-5.667189308543379
44.5,-5.744460525380788,-5.7847941641161675,-5.695151938646133
45.8,-5.767334582971989,-5.805655770273651,-5.720760385731495
47.5,-5.794743951440045,-5.830774127884263,-5.751247231078324
48.8,-5.814054296477833,-5.8485474547964635,-5.772601623380307
50,-5.830773455867618,-5.863986390304086,-5.791011098805869
51.5,-5.850353112059917,-5.8821257611853905,-5.812479628951607
53,-5.868637257052967,-5.899121985390883,-5.83244193970371
55,-5.891263696726098,-5.9202308347559045,-5.857033594559198
56.5,-5.907083508944343,-5.93505493362424,-5.874155657800555
58,-5.9220360798878495,-5.94912723556326,-5.8902855284701765
60,-5.940778413612948,-5.966811053265753,-5.910430538993291
61.5,-5.9540387061142255,-5.979353676438981,-5.924634232036982
63,-5.966689798928665,-5.99134514824954,-5.938147390845055
64.5,-5.97878910527151,-6.002837364987073,-5.951036201378457
66,-5.990387319487677,-6.013876280518369,-5.963358798497526
67.5,-6.001529419288623,-6.024502776622311,-5.975166511219712
68.8,-6.010848054930296,-6.033407138661262,-5.985018708307379
70,-6.019192945952492,-6.041394610363841,-5.99382326391401
71.5,-6.029303532498507,-6.051089923893855,-6.004467437441473
73.2,-6.040366901813158,-6.06172204536464,-6.016084829337095
75,-6.051665080485829,-6.072605856785687,-6.0279158864317965
76.5,-6.060782956048337,-6.081409298177372,-6.037439015602422
78,-6.069653885998489,-6.089992077313008,-6.0466825095004015
80,-6.081131732453538,-6.101124075302809,-6.058609916921154
82,-6.092248211304762,-6.111935745316302,-6.070126031938125
84,-6.103041332631478,-6.122462443488834,-6.081272650577011
86,-6.113545213111939,-6.132735988868728,-6.09208714847388
88,-6.123790604081276,-6.1427851380335206,-6.102603093077276
90,-6.13380533460173,-6.152635984217678,-6.112850755057616
92,-6.143614685336119,-6.1623122948080535,-6.122857538090993
94,-6.153241705704733,-6.171841605293874,-6.132648342072843
96,-6.162707484263894,-6.181252234074702,-6.142245871682052
98,-6.172031380276177,-6.190548935727242,-6.1516708998043494
100,-6.181231222906248,-6.199748616327705,-6.160942493453296
102,-6.1903234832685055,-6.208866943660953,-6.170078208364668
104,-6.199323423596477,-6.21791848180112,-6.1790942572884004
106,-6.2082452270417505,-6.226916808399599,-6.1880056560889845
108,-6.217102110999043,-6.235874617224832,-6.196826351036247
110,-6.225906426360879,-6.244803808070405,-6.205569330083088
112,-6.234669744705359,-6.253715565799826,-6.214246720453845
115,-6.24776145364695,-6.267073409525102,-6.227164467407569
118,-6.260819294790491,-6.280448772077817,-6.239995453936604
120,-6.26952126206079,-6.289390622130693,-6.248517348393258
122,-6.278230797865085,-6.298362414201898,-6.257024056675384
125,-6.29132719166514,-6.311893877628842,-6.2697740209698924
128,-6.304485199574923,-6.325536716172776,-6.282535493795443
130,-6.313303550871126,-6.334705836395112,-6.291061876135444
132,-6.322167004787513,-6.343942059303444,-6.299611388773075
135,-6.335561034335257,-6.357936464021021,-6.3124934653544305
138,-6.34909231828034,-6.372117598161857,-6.325463689258966
140,-6.358199297880632,-6.381685322889706,-6.334169391811816
142,-6.367381776553767,-6.391350584120408,-6.342928815275117
145,-6.381308898695712,-6.40604326390553,-6.356180512894165
148,-6.3954356752284385,-6.420985349778563,-6.369582814960826
150,-6.404972745842092,-6.431093646863134,-6.378609619389357
155,-6.4292671629808495,-6.456913179256242,-6.401532708096527
160,-6.454262635374944,-6.483572436686437,-6.4250199308184754
165,-6.480024292370446,-6.511136109738228,-6.449136279068657
170,-6.506612161999692,-6.539663009929208,-6.473942047086472
175,-6.534081224369412,-6.5692058596898395,-6.499493103876662
180,-6.562481284014222,-6.599810887399396,-6.525840996653891
185,-6.591856677738392,-6.63151724777074,-6.553032902435723
190,-6.62224583322667,-6.66435628999505,-6.581111441050961
195,-6.653680694623143,-6.698350700752448,-6.6101143611839515
200,-6.686186034171689,-6.733513556144787,-6.640074111057228
205,-6.719778673693246,-6.769847325344617,-6.671017306832571
210,-6.754466645880086,-6.807342878573785,-6.702964114672945
215,-6.790248332711519,-6.845978561918189,-6.735927566516239
220,-6.827111626139791,-6.8857194101198385,-6.769912834756145
225,-6.865033163732624,-6.92651657425614,-6.80491649688223
230,-6.903977698136776,-6.968307042373391,-6.8409258272301035
235,-6.9438976628207065,-7.011013726038694,-6.877918158700167
240,-6.984732996284638,-7.0545459731824955,-6.91586036183134
245,-7.026411281641527,-7.098800547069594,-6.954708491066384
250,-7.068848247381897,-7.143663083401087,-6.9944076474966455
255,-7.11194865805533,-7.189010004325293,-7.034892103011474
260,-7.155607601160947,-7.234710832649538,-7.076085722053225
270,-7.244143356786068,-7.326633741328141,-7.1602486518119814
275,-7.288778496336651,-7.372584807875171,-7.20302195303563
280,-7.333493474838934,-7.418353409826032,-7.246115436715887
285,-7.378165284593182,-7.463815701589603,-7.289418250800276
290,-7.4226743965707485,-7.508856826964536,-7.332817886162946
295,-7.466906980057499,-7.553372727954044,-7.376202261952495
300,-7.510756855376899,-7.59727148154039,-7.4194617815378185
