Freq.	V(out)
2.50000000000000e+000	(1.35076349306510e-001dB,-1.67378412503002e+001°)
2.55823248070189e+000	(1.41144303211448e-001dB,-1.71404131074856e+001°)
2.61782137012725e+000	(1.47468976784712e-001dB,-1.75532546997588e+001°)
2.67879826309402e+000	(1.54059602415931e-001dB,-1.79766670396164e+001°)
2.74119549035796e+000	(1.60925565378864e-001dB,-1.84109622956488e+001°)
2.80504613575491e+000	(1.68076383143638e-001dB,-1.88564643107270e+001°)
2.87038405374221e+000	(1.75521680961468e-001dB,-1.93135091453216e+001°)
2.93724388734882e+000	(1.83271163279085e-001dB,-1.97824456466858e+001°)
3.00566108654353e+000	(1.91334580495130e-001dB,-2.02636360445448e+001°)
3.07567192703095e+000	(1.99721690521664e-001dB,-2.07574565738164e+001°)
3.14731352948542e+000	(2.08442214560386e-001dB,-2.12642981247437e+001°)
3.22062387923283e+000	(2.17505786445983e-001dB,-2.17845669206262e+001°)
3.29564184639102e+000	(2.26921894846607e-001dB,-2.23186852231172e+001°)
3.37240720647913e+000	(2.36699817545345e-001dB,-2.28670920647604e+001°)
3.45096066150721e+000	(2.46848546954908e-001dB,-2.34302440081071e+001°)
3.53134386155688e+000	(2.57376705942635e-001dB,-2.40086159303339e+001°)
3.61359942686482e+000	(2.68292452962605e-001dB,-2.46027018317912e+001°)
3.69777097042052e+000	(2.79603375408340e-001dB,-2.52130156663202e+001°)
3.78390312109052e+000	(2.91316370012201e-001dB,-2.58400921904793e+001°)
3.87204154728120e+000	(3.03437509028516e-001dB,-2.64844878279959e+001°)
3.96223298115278e+000	(3.15971890846782e-001dB,-2.71467815447938e+001°)
4.05452524339732e+000	(3.28923473591400e-001dB,-2.78275757288137e+001°)
4.14896726859390e+000	(3.42294890177230e-001dB,-2.85274970675299e+001°)
4.24560913115436e+000	(3.56087243208249e-001dB,-2.92471974145399e+001°)
4.34450207187344e+000	(3.70299878034797e-001dB,-2.99873546348386e+001°)
4.44569852509731e+000	(3.84930132225665e-001dB,-3.07486734163683e+001°)
4.54925214652496e+000	(3.99973059672822e-001dB,-3.15318860331117e+001°)
4.65521784165717e+000	(4.15421127534161e-001dB,-3.23377530423589e+001°)
4.76365179490812e+000	(4.31263884243314e-001dB,-3.31670638957864e+001°)
4.87461149939511e+000	(4.47487596884678e-001dB,-3.40206374406178e+001°)
4.98815578742220e+000	(4.64074856361056e-001dB,-3.48993222833626e+001°)
5.10434486167382e+000	(4.81004148983761e-001dB,-3.58039969844453e+001°)
5.22324032713510e+000	(4.98249393410893e-001dB,-3.67355700474159e+001°)
5.34490522375558e+000	(5.15779442268674e-001dB,-3.76949796613994e+001°)
5.46940405987388e+000	(5.33557548338592e-001dB,-3.86831931500145e+001°)
5.59680284642084e+000	(5.51540795907001e-001dB,-3.97012060742120e+001°)
5.72716913191943e+000	(5.69679498786911e-001dB,-4.07500409304573e+001°)
5.86057203829980e+000	(5.87916567666668e-001dB,-4.18307453795183e+001°)
5.99708229754872e+000	(6.06186850857922e-001dB,-4.29443899350119e+001°)
6.13677228921257e+000	(6.24416454243182e-001dB,-4.40920650350657e+001°)
6.27971607877395e+000	(6.42522048303352e-001dB,-4.52748774152933e+001°)
6.42598945692215e+000	(6.60410172576755e-001dB,-4.64939456971953e+001°)
6.57566997973845e+000	(6.77976550797188e-001dB,-4.77503951036362e+001°)
6.72883700981728e+000	(6.95105433305707e-001dB,-4.90453512128735e+001°)
6.88557175834541e+000	(7.11668987140866e-001dB,-5.03799326655427e+001°)
7.04595732816113e+000	(7.27526758475555e-001dB,-5.17552427459828e+001°)
7.21007875781651e+000	(7.42525236748371e-001dB,-5.31723597714110e+001°)
7.37802306666596e+000	(7.56497554856432e-001dB,-5.46323262409223e+001°)
7.54987930100503e+000	(7.69263365011426e-001dB,-5.61361367223946e+001°)
7.72573858128397e+000	(7.80628935126465e-001dB,-5.76847244904113e+001°)
7.90569415042094e+000	(7.90387515645016e-001dB,-5.92789469735108e+001°)
8.08984142324070e+000	(7.98320031215360e-001dB,-6.09195701254324e+001°)
8.27827803706477e+000	(8.04196155142586e-001dB,-6.26072519032167e+001°)
8.47110390348005e+000	(8.07775826629306e-001dB,-6.43425251150924e+001°)
8.66842126131328e+000	(8.08811270893718e-001dB,-6.61257799923335e+001°)
8.87033473083938e+000	(8.07049579742403e-001dB,-6.79572469399384e+001°)
9.07695136925252e+000	(8.02235904492429e-001dB,-6.98369800280798e+001°)
9.28838072742930e+000	(7.94117303763396e-001dB,-7.17648418954168e+001°)
9.50473490801402e+000	(7.82447275218402e-001dB,-7.37404908407209e+001°)
9.72612862485700e+000	(7.66990982671124e-001dB,-7.57633709737196e+001°)
9.95267926383742e+000	(7.47531168269099e-001dB,-7.78327063715111e+001°)
1.01845069451028e+001	(7.23874714292668e-001dB,-7.99475002349152e+001°)
1.04217345867584e+001	(6.95859791532635e-001dB,-8.21065400518023e+001°)
1.06644879700398e+001	(6.63363502784942e-001dB,-8.43084097456037e+001°)
1.09128958060041e+001	(6.26309902744594e-001dB,-8.65515097136828e+001°)
1.11670898037741e+001	(5.84678251865545e-001dB,-8.88340855432667e+001°)
1.14272047403719e+001	(5.38511344107648e-001dB,-9.11542660390250e+001°)
1.16933785321799e+001	(4.87923739341875e-001dB,-9.35101110194382e+001°)
1.19657523080659e+001	(4.33109732535015e-001dB,-9.58996691588696e+001°)
1.22444704842111e+001	(3.74350904926245e-001dB,-9.83210459952623e+001°)
1.25296808406818e+001	(3.12023127415291e-001dB,-1.00772482121562e+002°)
1.28215345997841e+001	(2.46602922159178e-001dB,-1.03252441568256e+002°)
1.31201865062443e+001	(1.78673132305980e-001dB,-1.05759710503170e+002°)
1.34257949092563e+001	(1.08927897728780e-001dB,-1.08293506662339e+002°)
1.37385218464406e+001	(3.81769808516121e-002dB,-1.10853600422783e+002°)
1.40585331297587e+001	(-3.26504761486081e-002dB,-1.13440449176693e+002°)
1.43859984334289e+001	(-1.02502662569891e-001dB,-1.16055347714389e+002°)
1.47210913838897e+001	(-1.70202189906427e-001dB,-1.18700598728572e+002°)
1.50639896518589e+001	(-2.34443530612289e-001dB,-1.21379709390882e+002°)
1.54148750465370e+001	(-2.93790900234236e-001dB,-1.24097622327656e+002°)
1.57739336120048e+001	(-3.46676909287379e-001dB,-1.26860992376720e+002°)
1.61413557258664e+001	(-3.91402701712479e-001dB,-1.29678524428995e+002°)
1.65173362001899e+001	(-4.26140935563739e-001dB,-1.32561392681026e+002°)
1.69020743847995e+001	(-4.48943993763312e-001dB,-1.35523768001606e+002°)
1.72957742729734e+001	(-4.57761475747751e-001dB,-1.38583488041103e+002°)
1.76986446096034e+001	(-4.50473702656908e-001dB,-1.41762914105061e+002°)
1.81108990018747e+001	(-4.24952298598997e-001dB,-1.45090028813578e+002°)
1.85327560325229e+001	(-3.79165890867516e-001dB,-1.48599836398788e+002°)
1.89644393757295e+001	(-3.11360142833782e-001dB,-1.52336125997069e+002°)
1.94061779157172e+001	(-2.20358887519687e-001dB,-1.56353630764481e+002°)
1.98582058681070e+001	(-1.06059665724845e-001dB,-1.60720525503643e+002°)
